movement_id,movement_date,product_id,movement_type,quantity,reference_id,notes
1,2025-10-26,1,RESTOCK,85,INITIAL_STOCK,Initial inventory load
2,2025-10-26,2,RESTOCK,185,INITIAL_STOCK,Initial inventory load
3,2025-10-26,3,RESTOCK,111,INITIAL_STOCK,Initial inventory load
4,2025-10-26,4,RESTOCK,169,INITIAL_STOCK,Initial inventory load
5,2025-10-26,5,RESTOCK,130,INITIAL_STOCK,Initial inventory load
6,2025-10-26,6,RESTOCK,217,INITIAL_STOCK,Initial inventory load
7,2025-10-26,7,RESTOCK,124,INITIAL_STOCK,Initial inventory load
8,2025-10-26,8,RESTOCK,152,INITIAL_STOCK,Initial inventory load
9,2025-10-26,9,RESTOCK,170,INITIAL_STOCK,Initial inventory load
10,2025-10-26,10,RESTOCK,163,INITIAL_STOCK,Initial inventory load
11,2025-10-26,11,RESTOCK,210,INITIAL_STOCK,Initial inventory load
12,2025-10-26,12,RESTOCK,204,INITIAL_STOCK,Initial inventory load
13,2025-10-26,13,RESTOCK,194,INITIAL_STOCK,Initial inventory load
14,2025-10-26,14,RESTOCK,100,INITIAL_STOCK,Initial inventory load
15,2025-10-26,15,RESTOCK,177,INITIAL_STOCK,Initial inventory load
16,2025-10-26,16,RESTOCK,153,INITIAL_STOCK,Initial inventory load
17,2025-10-26,17,RESTOCK,198,INITIAL_STOCK,Initial inventory load
18,2025-10-26,18,RESTOCK,117,INITIAL_STOCK,Initial inventory load
19,2025-10-26,19,RESTOCK,122,INITIAL_STOCK,Initial inventory load
20,2025-10-26,20,RESTOCK,166,INITIAL_STOCK,Initial inventory load
21,2025-10-26,21,RESTOCK,187,INITIAL_STOCK,Initial inventory load
22,2025-10-26,22,RESTOCK,183,INITIAL_STOCK,Initial inventory load
23,2025-10-26,23,RESTOCK,98,INITIAL_STOCK,Initial inventory load
24,2025-10-26,24,RESTOCK,100,INITIAL_STOCK,Initial inventory load
25,2025-10-26,25,RESTOCK,121,INITIAL_STOCK,Initial inventory load
26,2025-10-26,26,RESTOCK,167,INITIAL_STOCK,Initial inventory load
27,2025-10-26,27,RESTOCK,138,INITIAL_STOCK,Initial inventory load
28,2025-10-26,28,RESTOCK,160,INITIAL_STOCK,Initial inventory load
29,2025-10-26,29,RESTOCK,161,INITIAL_STOCK,Initial inventory load
30,2025-10-26,30,RESTOCK,154,INITIAL_STOCK,Initial inventory load
800,2025-11-05,6,SALE,7,311,Inventory reduction due to customer order
801,2025-11-05,29,SALE,9,311,Inventory reduction due to customer order
802,2025-11-05,14,SALE,2,311,Inventory reduction due to customer order
803,2025-11-05,16,SALE,10,311,Inventory reduction due to customer order
383,2025-11-06,27,SALE,9,131,Inventory reduction due to customer order
384,2025-11-06,5,SALE,9,131,Inventory reduction due to customer order
516,2025-11-06,25,SALE,10,184,Inventory reduction due to customer order
517,2025-11-06,9,SALE,1,184,Inventory reduction due to customer order
518,2025-11-06,11,SALE,6,184,Inventory reduction due to customer order
519,2025-11-06,10,SALE,1,184,Inventory reduction due to customer order
1010,2025-11-06,23,SALE,7,403,Inventory reduction due to customer order
1011,2025-11-06,24,SALE,6,403,Inventory reduction due to customer order
799,2025-11-07,12,SALE,5,310,Inventory reduction due to customer order
1113,2025-11-07,29,SALE,9,448,Inventory reduction due to customer order
1114,2025-11-07,28,SALE,6,448,Inventory reduction due to customer order
289,2025-11-08,19,SALE,1,90,Inventory reduction due to customer order
290,2025-11-08,11,SALE,5,90,Inventory reduction due to customer order
965,2025-11-08,27,SALE,6,381,Inventory reduction due to customer order
966,2025-11-08,8,SALE,9,381,Inventory reduction due to customer order
967,2025-11-08,30,SALE,4,381,Inventory reduction due to customer order
968,2025-11-08,21,SALE,5,381,Inventory reduction due to customer order
1104,2025-11-08,11,SALE,6,444,Inventory reduction due to customer order
586,2025-11-09,26,SALE,2,214,Inventory reduction due to customer order
587,2025-11-09,30,SALE,3,214,Inventory reduction due to customer order
588,2025-11-09,6,SALE,4,214,Inventory reduction due to customer order
589,2025-11-09,4,SALE,9,214,Inventory reduction due to customer order
889,2025-11-09,7,SALE,1,350,Inventory reduction due to customer order
890,2025-11-09,24,SALE,9,350,Inventory reduction due to customer order
1144,2025-11-09,20,ADJUSTMENT,5,MANUAL_ADJUSTMENT,Manual stock correction after warehouse count
534,2025-11-10,24,SALE,4,190,Inventory reduction due to customer order
646,2025-11-12,19,SALE,4,243,Inventory reduction due to customer order
647,2025-11-12,14,SALE,5,243,Inventory reduction due to customer order
648,2025-11-12,13,SALE,10,243,Inventory reduction due to customer order
649,2025-11-12,1,SALE,9,243,Inventory reduction due to customer order
666,2025-11-13,6,SALE,10,250,Inventory reduction due to customer order
667,2025-11-13,25,SALE,9,250,Inventory reduction due to customer order
668,2025-11-13,15,SALE,2,250,Inventory reduction due to customer order
1143,2025-11-13,1,ADJUSTMENT,-3,MANUAL_ADJUSTMENT,Manual stock correction after warehouse count
349,2025-11-14,3,SALE,2,114,Inventory reduction due to customer order
350,2025-11-14,21,SALE,10,114,Inventory reduction due to customer order
351,2025-11-14,28,SALE,7,114,Inventory reduction due to customer order
368,2025-11-14,20,SALE,3,123,Inventory reduction due to customer order
369,2025-11-14,13,SALE,3,123,Inventory reduction due to customer order
395,2025-11-14,29,SALE,6,139,Inventory reduction due to customer order
396,2025-11-14,2,SALE,9,139,Inventory reduction due to customer order
468,2025-11-14,17,SALE,9,166,Inventory reduction due to customer order
469,2025-11-14,15,SALE,6,166,Inventory reduction due to customer order
470,2025-11-14,5,SALE,6,166,Inventory reduction due to customer order
471,2025-11-14,20,SALE,7,166,Inventory reduction due to customer order
507,2025-11-14,30,SALE,6,180,Inventory reduction due to customer order
1000,2025-11-15,18,SALE,6,398,Inventory reduction due to customer order
1001,2025-11-15,3,SALE,7,398,Inventory reduction due to customer order
1002,2025-11-15,10,SALE,3,398,Inventory reduction due to customer order
1003,2025-11-15,7,SALE,3,398,Inventory reduction due to customer order
744,2025-11-16,23,SALE,2,286,Inventory reduction due to customer order
745,2025-11-16,29,SALE,2,286,Inventory reduction due to customer order
746,2025-11-16,12,SALE,3,286,Inventory reduction due to customer order
747,2025-11-16,15,SALE,2,286,Inventory reduction due to customer order
893,2025-11-17,4,SALE,3,353,Inventory reduction due to customer order
894,2025-11-17,18,SALE,1,353,Inventory reduction due to customer order
895,2025-11-17,9,SALE,7,353,Inventory reduction due to customer order
896,2025-11-17,16,SALE,9,353,Inventory reduction due to customer order
876,2025-11-18,11,SALE,10,344,Inventory reduction due to customer order
877,2025-11-18,14,SALE,3,344,Inventory reduction due to customer order
927,2025-11-18,17,SALE,8,364,Inventory reduction due to customer order
928,2025-11-18,28,SALE,3,364,Inventory reduction due to customer order
1100,2025-11-18,18,SALE,7,443,Inventory reduction due to customer order
1101,2025-11-18,2,SALE,8,443,Inventory reduction due to customer order
1102,2025-11-18,17,SALE,9,443,Inventory reduction due to customer order
1103,2025-11-18,12,SALE,6,443,Inventory reduction due to customer order
848,2025-11-19,30,SALE,6,330,Inventory reduction due to customer order
31,2025-11-20,10,RESTOCK,32,RESTOCK_2025-11-20,Scheduled supplier restock
32,2025-11-20,11,RESTOCK,60,RESTOCK_2025-11-20,Scheduled supplier restock
33,2025-11-20,15,RESTOCK,51,RESTOCK_2025-11-20,Scheduled supplier restock
34,2025-11-20,17,RESTOCK,90,RESTOCK_2025-11-20,Scheduled supplier restock
35,2025-11-20,19,RESTOCK,80,RESTOCK_2025-11-20,Scheduled supplier restock
36,2025-11-20,22,RESTOCK,109,RESTOCK_2025-11-20,Scheduled supplier restock
37,2025-11-20,23,RESTOCK,113,RESTOCK_2025-11-20,Scheduled supplier restock
38,2025-11-20,26,RESTOCK,66,RESTOCK_2025-11-20,Scheduled supplier restock
39,2025-11-20,28,RESTOCK,97,RESTOCK_2025-11-20,Scheduled supplier restock
40,2025-11-20,30,RESTOCK,114,RESTOCK_2025-11-20,Scheduled supplier restock
294,2025-11-20,22,SALE,8,93,Inventory reduction due to customer order
295,2025-11-20,4,SALE,2,93,Inventory reduction due to customer order
