order_id,order_date,customer_id,order_status
311,2025-11-05,7,completed
131,2025-11-06,11,completed
184,2025-11-06,34,completed
403,2025-11-06,41,completed
310,2025-11-07,34,completed
448,2025-11-07,23,completed
90,2025-11-08,46,shipped
381,2025-11-08,33,completed
444,2025-11-08,27,completed
214,2025-11-09,65,shipped
350,2025-11-09,30,completed
190,2025-11-10,51,completed
243,2025-11-12,79,shipped
250,2025-11-13,36,completed
114,2025-11-14,8,completed
123,2025-11-14,44,shipped
139,2025-11-14,38,completed
166,2025-11-14,18,shipped
180,2025-11-14,2,completed
398,2025-11-15,1,completed
19,2025-11-16,32,cancelled
237,2025-11-16,73,cancelled
286,2025-11-16,30,shipped
349,2025-11-16,39,cancelled
353,2025-11-17,15,completed
344,2025-11-18,20,completed
364,2025-11-18,2,completed
443,2025-11-18,68,shipped
330,2025-11-19,32,completed
93,2025-11-20,62,shipped
200,2025-11-20,72,cancelled
272,2025-11-20,51,completed
379,2025-11-20,38,completed
450,2025-11-20,28,shipped
47,2025-11-21,52,completed
259,2025-11-21,69,completed
337,2025-11-21,44,cancelled
395,2025-11-21,75,completed
145,2025-11-22,31,shipped
158,2025-11-23,8,completed
191,2025-11-23,6,completed
205,2025-11-23,25,shipped
271,2025-11-23,3,completed
385,2025-11-23,41,completed
393,2025-11-23,7,completed
107,2025-11-24,41,completed
294,2025-11-24,3,cancelled
317,2025-11-25,61,shipped
441,2025-11-25,64,completed
97,2025-11-26,12,completed
120,2025-11-26,40,completed
218,2025-11-26,64,shipped
108,2025-11-27,56,shipped
253,2025-11-27,57,shipped
102,2025-11-28,68,completed
204,2025-11-28,69,shipped
290,2025-11-28,21,shipped
367,2025-11-28,78,cancelled
430,2025-11-28,19,completed
84,2025-11-29,31,shipped
160,2025-11-29,7,completed
292,2025-11-29,60,completed
358,2025-11-29,6,completed
67,2025-11-30,57,completed
324,2025-11-30,37,shipped
357,2025-11-30,33,completed
127,2025-12-01,67,shipped
239,2025-12-01,38,completed
264,2025-12-01,14,completed
225,2025-12-02,12,completed
289,2025-12-02,20,completed
132,2025-12-03,37,completed
196,2025-12-03,5,shipped
100,2025-12-04,36,completed
251,2025-12-04,35,shipped
360,2025-12-04,52,completed
436,2025-12-04,66,cancelled
60,2025-12-06,4,cancelled
295,2025-12-06,6,cancelled
351,2025-12-06,47,shipped
91,2025-12-07,54,completed
308,2025-12-07,23,shipped
263,2025-12-08,76,completed
138,2025-12-09,6,completed
417,2025-12-09,66,completed
150,2025-12-10,31,shipped
235,2025-12-10,39,completed
370,2025-12-10,53,completed
53,2025-12-11,10,completed
220,2025-12-11,51,cancelled
257,2025-12-11,74,completed
309,2025-12-11,43,shipped
174,2025-12-12,38,completed
305,2025-12-12,76,shipped
378,2025-12-12,7,completed
170,2025-12-13,53,completed
85,2025-12-14,54,completed
99,2025-12-14,62,completed
122,2025-12-14,10,completed
316,2025-12-14,7,completed
384,2025-12-14,6,completed
261,2025-12-15,36,completed
433,2025-12-15,12,cancelled
126,2025-12-16,26,shipped
312,2025-12-16,58,completed
29,2025-12-17,60,shipped
124,2025-12-17,57,completed
72,2025-12-19,11,completed
179,2025-12-19,54,shipped
325,2025-12-19,36,completed
21,2025-12-20,67,completed
382,2025-12-20,10,completed
428,2025-12-20,48,completed
299,2025-12-21,4,completed
341,2025-12-21,43,completed
345,2025-12-21,11,completed
63,2025-12-23,77,completed
206,2025-12-23,16,shipped
315,2025-12-23,53,completed
16,2025-12-24,54,completed
20,2025-12-24,50,completed
283,2025-12-26,38,completed
355,2025-12-26,34,shipped
440,2025-12-27,30,completed
17,2025-12-28,56,shipped
50,2025-12-28,28,completed
346,2025-12-28,22,completed
148,2025-12-29,79,completed
266,2025-12-30,12,shipped
387,2025-12-30,80,completed
11,2025-12-31,26,shipped
28,2025-12-31,35,completed
83,2025-12-31,9,completed
128,2025-12-31,58,shipped
301,2025-12-31,74,shipped
397,2025-12-31,18,shipped
202,2026-01-01,39,shipped
282,2026-01-01,67,cancelled
414,2026-01-01,67,completed
279,2026-01-02,66,completed
415,2026-01-02,10,completed
88,2026-01-03,43,shipped
199,2026-01-03,74,completed
410,2026-01-03,9,completed
285,2026-01-04,54,completed
125,2026-01-05,40,cancelled
388,2026-01-05,79,shipped
176,2026-01-06,7,completed
284,2026-01-06,20,completed
32,2026-01-07,26,shipped
224,2026-01-07,10,completed
298,2026-01-07,70,shipped
58,2026-01-08,42,completed
77,2026-01-08,18,completed
119,2026-01-08,78,shipped
389,2026-01-09,70,shipped
313,2026-01-10,14,completed
342,2026-01-10,75,completed
427,2026-01-10,69,completed
445,2026-01-10,24,completed
4,2026-01-11,15,shipped
52,2026-01-11,76,completed
64,2026-01-12,1,completed
228,2026-01-12,39,completed
101,2026-01-13,40,cancelled
219,2026-01-13,6,cancelled
24,2026-01-14,57,completed
94,2026-01-14,80,completed
113,2026-01-14,76,completed
331,2026-01-14,48,shipped
12,2026-01-15,45,completed
383,2026-01-15,72,completed
173,2026-01-17,27,completed
432,2026-01-17,25,completed
396,2026-01-18,39,completed
71,2026-01-19,46,completed
375,2026-01-19,58,shipped
167,2026-01-20,76,completed
327,2026-01-20,57,shipped
449,2026-01-20,33,completed
48,2026-01-21,11,cancelled
154,2026-01-21,22,completed
109,2026-01-23,44,completed
240,2026-01-23,44,completed
326,2026-01-23,36,shipped
329,2026-01-23,65,completed
42,2026-01-24,16,shipped
208,2026-01-24,53,completed
246,2026-01-24,16,completed
267,2026-01-24,18,completed
439,2026-01-24,46,completed
130,2026-01-25,13,shipped
288,2026-01-25,58,completed
322,2026-01-25,9,completed
402,2026-01-25,63,completed
37,2026-01-26,32,shipped
116,2026-01-26,78,completed
281,2026-01-26,32,completed
68,2026-01-28,69,completed
182,2026-01-28,21,shipped
304,2026-01-28,79,completed
416,2026-01-28,15,completed
6,2026-01-29,17,completed
10,2026-01-29,53,shipped
65,2026-01-29,71,shipped
87,2026-01-29,32,cancelled
314,2026-01-30,77,cancelled
371,2026-01-30,14,shipped
260,2026-01-31,7,completed
35,2026-02-01,69,completed
201,2026-02-01,49,shipped
276,2026-02-01,67,completed
110,2026-02-02,45,shipped
135,2026-02-03,31,completed
215,2026-02-03,35,shipped
377,2026-02-03,72,completed
8,2026-02-04,27,completed
291,2026-02-04,51,completed
300,2026-02-04,75,cancelled
36,2026-02-05,59,shipped
121,2026-02-05,40,completed
278,2026-02-05,8,completed
244,2026-02-06,42,completed
280,2026-02-06,50,cancelled
413,2026-02-06,76,completed
3,2026-02-07,37,completed
141,2026-02-07,56,shipped
151,2026-02-07,60,shipped
318,2026-02-07,49,completed
165,2026-02-08,44,completed
193,2026-02-09,49,completed
27,2026-02-10,62,completed
31,2026-02-10,36,shipped
217,2026-02-10,49,completed
231,2026-02-10,43,completed
25,2026-02-11,20,shipped
249,2026-02-11,72,completed
333,2026-02-11,7,completed
194,2026-02-13,68,completed
407,2026-02-13,29,shipped
81,2026-02-14,2,completed
222,2026-02-14,42,completed
232,2026-02-14,41,completed
296,2026-02-14,64,completed
96,2026-02-15,54,shipped
163,2026-02-15,7,completed
293,2026-02-15,48,completed
339,2026-02-16,50,shipped
61,2026-02-17,12,completed
435,2026-02-17,65,completed
98,2026-02-18,46,shipped
